ip,requests_per_sec,ports,packet_size,protocol,label
172.16.30.30,355,4,855,UDP,Bot
192.168.19.19,39,2,455,TCP,Legit
10.46.47.48,1388,18,1422,UDP,DDoS
172.16.31.31,222,6,688,TCP,Bot
192.168.21.21,16,3,522,UDP,Legit
10.49.50.51,777,9,1144,UDP,DDoS
172.16.32.32,333,8,977,UDP,Bot
192.168.23.23,43,4,211,TCP,Legit
10.52.53.54,1299,17,1388,UDP,DDoS
172.16.34.34,144,3,1066,TCP,Bot
192.168.24.24,31,1,411,TCP,Legit
10.55.56.57,1011,12,1199,TCP,DDoS
172.16.35.35,266,5,799,UDP,Bot
192.168.25.25,18,2,599,UDP,Legit
10.58.59.60,1466,19,1466,UDP,DDoS
172.16.36.36,377,7,911,TCP,Bot
192.168.26.26,36,3,322,TCP,Legit
10.61.62.63,1144,14,1333,UDP,DDoS
172.16.37.37,199,4,611,UDP,Bot
192.168.27.27,10,4,566,UDP,Legit
10.64.65.66,855,10,1211,UDP,DDoS
172.16.38.38,344,6,844,TCP,Bot
192.168.28.28,45,1,233,TCP,Legit
10.67.68.69,1322,16,1433,UDP,DDoS
172.16.39.39,211,8,1044,UDP,Bot
192.168.29.29,27,2,466,UDP,Legit
10.70.71.72,1255,13,1122,UDP,DDoS
172.16.40.40,311,3,755,TCP,Bot
192.168.30.30,40,3,655,TCP,Legit
10.73.74.75,988,11,1288,TCP,DDoS
172.16.41.41,122,5,966,UDP,Bot
192.168.31.31,14,4,388,UDP,Legit
10.76.77.78,1433,18,1411,UDP,DDoS
172.16.42.42,399,7,888,TCP,Bot
192.168.32.32,48,1,533,TCP,Legit
10.79.80.81,1177,15,1366,UDP,DDoS
172.16.43.43,244,4,633,UDP,Bot
192.168.34.34,23,2,277,UDP,Legit
10.82.83.84,788,9,1166,UDP,DDoS
172.16.45.45,366,6,822,TCP,Bot
192.168.35.35,41,3,444,TCP,Legit
10.85.86.87,1366,17,1488,UDP,DDoS
172.16.46.46,177,8,1077,UDP,Bot
192.168.36.36,33,4,677,UDP,Legit
10.88.89.90,1077,12,1244,TCP,DDoS
172.16.47.47,288,3,744,TCP,Bot
192.168.37.37,12,1,311,TCP,Legit
10.91.92.93,1499,20,1455,UDP,DDoS
172.16.48.48,399,5,988,UDP,Bot
192.168.38.38,44,2,511,UDP,Legit
10.94.95.96,1200,14,1322,UDP,DDoS
172.16.49.49,233,7,666,TCP,Bot
192.168.39.39,26,3,222,TCP,Legit
10.97.98.99,844,11,1133,UDP,DDoS
172.16.50.50,155,4,833,UDP,Bot
192.168.40.40,49,4,600,UDP,Legit
10.100.101.102,1277,16,1400,UDP,DDoS
172.16.51.51,344,6,933,TCP,Bot
192.168.41.41,37,1,366,TCP,Legit
10.103.104.105,1033,13,1188,TCP,DDoS
172.16.52.52,211,8,711,UDP,Bot
192.168.42.42,17,2,488,UDP,Legit
10.106.107.108,1444,19,1477,UDP,DDoS
172.16.53.53,322,3,1011,TCP,Bot
192.168.43.43,30,3,299,TCP,Legit
10.109.110.111,1122,15,1344,UDP,DDoS
172.16.54.54,188,5,866,UDP,Bot
192.168.44.44,42,4,555,UDP,Legit
10.112.113.114,766,10,1255,UDP,DDoS
172.16.56.56,377,7,622,TCP,Bot
192.168.45.45,21,1,344,TCP,Legit
10.115.116.117,1333,18,1422,UDP,DDoS
172.16.57.57,255,4,999,UDP,Bot
192.168.46.46,38,2,611,UDP,Legit
10.118.119.120,1244,12,1111,TCP,DDoS
172.16.58.58,133,6,777,TCP,Bot
192.168.47.47,15,3,433,TCP,Legit
10.121.122.123,966,17,1388,UDP,DDoS
172.16.59.59,388,8,899,UDP,Bot
192.168.48.48,46,4,255,UDP,Legit
10.124.125.126,1488,14,1466,UDP,DDoS
172.16.60.60,277,3,1044,TCP,Bot
192.168.49.49,34,1,588,TCP,Legit
10.127.128.129,1155,11,1233,UDP,DDoS
172.16.61.61,166,5,811,UDP,Bot
192.168.50.50,11,2,322,UDP,Legit
10.130.131.132,833,16,1177,TCP,DDoS
172.16.62.62,355,7,688,TCP,Bot
192.168.51.51,47,3,499,TCP,Legit
10.133.134.135,1399,20,1444,UDP,DDoS
172.16.63.63,222,4,955,UDP,Bot
192.168.52.52,25,4,666,UDP,Legit
10.136.137.138,1211,13,1311,UDP,DDoS
172.16.64.64,144,6,733,TCP,Bot
192.168.53.53,43,1,211,TCP,Legit
10.139.140.141,1055,18,1266,UDP,DDoS
172.16.65.65,311,8,1022,UDP,Bot
192.168.54.54,32,2,477,UDP,Legit
10.142.143.144,799,9,1199,TCP,DDoS
172.16.67.67,244,3,844,TCP,Bot
192.168.56.56,19,3,533,TCP,Legit
10.145.146.147,1422,15,1355,UDP,DDoS
172.16.68.68,366,5,766,UDP,Bot
192.168.57.57,48,4,388,UDP,Legit
10.148.149.150,1188,12,1433,UDP,DDoS
172.16.69.69,202,7,977,TCP,Bot
192.168.58.58,13,1,644,TCP,Legit
10.151.152.153,911,17,1144,UDP,DDoS
172.16.70.70,399,4,644,UDP,Bot
192.168.59.59,36,2,288,UDP,Legit
10.154.155.156,1344,10,1288,TCP,DDoS
172.16.71.71,155,6,1088,TCP,Bot
192.168.60.60,45,3,566,TCP,Legit
10.157.158.159,1266,19,1411,UDP,DDoS
172.16.72.72,333,8,822,UDP,Bot
192.168.61.61,28,4,422,UDP,Legit
10.160.161.162,877,14,1222,UDP,DDoS
172.16.73.73,111,3,911,TCP,Bot
192.168.62.62,10,1,344,TCP,Legit
10.163.164.165,1477,16,1366,UDP,DDoS
172.16.74.74,299,5,722,UDP,Bot
192.168.63.63,49,2,688,UDP,Legit
10.166.167.168,1099,11,1488,TCP,DDoS
172.16.75.75,233,7,1055,TCP,Bot
192.168.64.64,24,3,255,TCP,Legit
10.169.170.171,1311,18,1166,UDP,DDoS
172.16.76.76,388,4,888,UDP,Bot
192.168.65.65,39,4,511,UDP,Legit
10.172.173.174,822,13,1399,UDP,DDoS
172.16.78.78,177,6,611,TCP,Bot
192.168.67.67,16,1,444,TCP,Legit
10.175.176.177,1377,20,1277,UDP,DDoS
172.16.79.79,266,8,944,UDP,Bot
192.168.68.68,43,2,633,UDP,Legit
10.178.179.180,1133,12,1455,TCP,DDoS
172.16.80.80,355,3,799,TCP,Bot
192.168.69.69,31,3,322,TCP,Legit
10.181.182.183,755,15,1111,UDP,DDoS
172.16.81.81,144,5,1033,UDP,Bot
192.168.70.70,41,4,588,UDP,Legit
10.184.185.186,1411,17,1322,UDP,DDoS
172.16.82.82,211,7,855,TCP,Bot
192.168.71.71,20,1,233,TCP,Legit
10.187.188.189,1222,9,1499,UDP,DDoS
172.16.83.83,344,4,666,UDP,Bot
192.168.72.72,46,2,477,UDP,Legit
10.190.191.192,999,14,1244,TCP,DDoS
172.16.84.84,122,6,988,TCP,Bot
192.168.73.73,14,3,611,TCP,Legit
10.193.194.195,1455,19,1388,UDP,DDoS
172.16.85.85,321,8,755,UDP,Bot
192.168.74.74,47,4,366,UDP,Legit
10.196.197.198,1166,11,1188,UDP,DDoS
172.16.86.86,245,3,1011,TCP,Bot
192.168.75.75,35,1,288,TCP,Legit
10.199.200.201,889,16,1433,TCP,DDoS
172.16.87.87,155,5,833,UDP,Bot
192.168.76.76,12,2,555,UDP,Legit
10.202.203.204,1388,18,1266,UDP,DDoS
172.16.89.89,377,7,966,TCP,Bot
192.168.78.78,44,3,699,TCP,Legit
10.205.206.207,1255,13,1477,UDP,DDoS
172.16.91.91,222,4,744,UDP,Bot
192.168.79.79,27,4,411,UDP,Legit
10.208.209.210,812,10,1344,TCP,DDoS
172.16.92.92,311,6,1077,TCP,Bot
192.168.80.80,49,1,244,TCP,Legit
10.211.212.213,1322,15,1177,UDP,DDoS
172.16.93.93,188,8,888,UDP,Bot
192.168.81.81,18,2,488,UDP,Legit
10.214.215.216,1077,12,1411,UDP,DDoS
172.16.94.94,366,3,633,TCP,Bot
192.168.82.82,37,3,311,TCP,Legit
10.217.218.219,777,17,1211,TCP,DDoS
172.16.95.95,133,5,933,UDP,Bot
192.168.83.83,42,4,588,UDP,Legit
10.220.221.222,1488,20,1355,UDP,DDoS
172.16.96.96,289,7,811,TCP,Bot
192.168.84.84,25,1,455,TCP,Legit
10.223.224.225,1211,14,1466,UDP,DDoS
172.16.97.97,399,4,1044,UDP,Bot
192.168.85.85,11,2,622,UDP,Legit
10.226.227.228,933,11,1133,TCP,DDoS
172.16.98.98,202,6,777,TCP,Bot
192.168.86.86,48,3,277,TCP,Legit
10.229.230.231,1433,16,1311,UDP,DDoS
172.16.100.100,166,8,955,UDP,Bot
192.168.87.87,33,4,511,UDP,Legit
10.232.233.234,1155,18,1422,UDP,DDoS
172.16.102.102,344,3,688,TCP,Bot
192.168.89.89,16,1,388,TCP,Legit
10.235.236.237,855,13,1199,TCP,DDoS
172.16.103.103,111,5,1022,UDP,Bot
192.168.90.90,40,2,666,UDP,Legit
10.238.239.240,1399,9,1377,UDP,DDoS
172.16.104.104,277,7,844,TCP,Bot
192.168.91.91,30,3,433,TCP,Legit
10.241.242.243,1244,15,1488,UDP,DDoS
172.16.105.105,388,4,733,UDP,Bot
192.168.92.92,19,4,211,UDP,Legit
10.244.245.246,799,11,1288,TCP,DDoS
172.16.106.106,233,6,977,TCP,Bot
192.168.93.93,46,1,533,TCP,Legit
10.247.248.249,1366,17,1444,UDP,DDoS
172.16.107.107,144,8,644,UDP,Bot
192.168.94.94,22,2,344,UDP,Legit
10.250.251.252,1122,12,1233,UDP,DDoS
172.16.108.108,355,3,1099,TCP,Bot
192.168.95.95,39,3,599,TCP,Legit
10.253.254.255,1011,19,1366,TCP,DDoS
172.16.109.109,211,5,866,UDP,Bot
192.168.96.96,13,4,477,UDP,Legit
172.16.110.110,877,14,1155,UDP,DDoS
172.16.112.112,311,7,1055,TCP,Bot
192.168.97.97,45,1,288,TCP,Legit
172.16.113.113,1477,10,1400,UDP,DDoS
172.16.114.114,244,4,611,UDP,Bot
192.168.98.98,34,2,611,UDP,Legit
172.16.115.115,1266,16,1255,UDP,DDoS
172.16.116.116,177,6,922,TCP,Bot
192.168.99.99,23,3,322,TCP,Legit
172.16.117.117,1188,11,1477,TCP,DDoS
172.16.118.118,366,8,799,UDP,Bot
192.168.101.101,41,4,544,UDP,Legit
172.16.119.119,822,18,1311,UDP,DDoS
172.16.120.120,288,3,1033,TCP,Bot
192.168.102.102,15,1,411,TCP,Legit
172.16.121.121,1311,13,1188,UDP,DDoS
172.16.122.122,122,5,855,UDP,Bot
192.168.103.103,47,2,633,UDP,Legit
172.16.123.123,1099,20,1455,UDP,DDoS
172.16.124.124,399,7,677,TCP,Bot
192.168.104.104,32,3,255,TCP,Legit
172.16.125.125,755,15,1211,TCP,DDoS
172.16.126.126,202,4,988,UDP,Bot
192.168.105.105,43,4,488,UDP,Legit
172.16.127.127,1411,12,1399,UDP,DDoS
172.16.128.128,344,6,755,TCP,Bot
192.168.106.106,21,1,366,TCP,Legit
172.16.129.129,1133,17,1488,UDP,DDoS
172.16.130.130,155,8,1011,UDP,Bot
192.168.107.107,38,2,588,UDP,Legit
172.16.131.131,988,9,1144,TCP,DDoS
172.16.132.132,311,3,833,TCP,Bot
192.168.108.108,12,3,299,TCP,Legit
172.16.134.134,1455,14,1344,UDP,DDoS
172.16.135.135,188,5,966,UDP,Bot
192.168.109.109,50,4,555,UDP,Legit
172.16.136.136,1177,19,1411,UDP,DDoS
172.16.137.137,333,7,744,TCP,Bot
192.168.110.110,29,1,433,TCP,Legit
172.16.138.138,889,11,1266,TCP,DDoS
172.16.139.139,133,4,1077,UDP,Bot
192.168.112.112,44,2,688,UDP,Legit
172.16.140.140,1388,16,1466,UDP,DDoS
172.16.141.141,377,6,888,TCP,Bot
192.168.113.113,35,3,244,TCP,Legit
172.16.142.142,1255,13,1111,UDP,DDoS
172.16.143.143,222,8,633,UDP,Bot
192.168.114.114,17,4,488,UDP,Legit
172.16.144.144,812,18,1388,TCP,DDoS
172.16.145.145,144,3,933,TCP,Bot
192.168.115.115,48,1,311,TCP,Legit
172.16.146.146,1433,10,1499,UDP,DDoS
172.16.147.147,266,5,811,UDP,Bot
192.168.116.116,26,2,588,UDP,Legit
172.16.148.148,1144,15,1322,UDP,DDoS
172.16.149.149,388,7,1044,TCP,Bot
192.168.117.117,42,3,455,TCP,Legit
172.16.150.150,777,12,1188,TCP,DDoS
172.16.151.151,166,4,777,UDP,Bot
192.168.118.118,31,4,277,UDP,Legit
172.16.152.152,1322,17,1433,UDP,DDoS
172.16.153.153,355,6,955,TCP,Bot
192.168.119.119,14,1,511,TCP,Legit
172.16.154.154,1222,11,1177,UDP,DDoS
172.16.155.155,233,8,688,UDP,Bot
192.168.120.120,46,2,622,UDP,Legit
172.16.156.156,1055,19,1400,TCP,DDoS
172.16.157.157,111,3,1022,TCP,Bot
192.168.121.121,37,3,388,TCP,Legit
172.16.158.158,1488,14,1422,UDP,DDoS
172.16.159.159,322,5,844,UDP,Bot
192.168.122.122,20,4,555,UDP,Legit
172.16.160.160,1199,12,1288,UDP,DDoS
172.16.161.161,199,7,733,TCP,Bot
192.168.123.123,49,1,211,TCP,Legit
172.16.162.162,855,16,1133,TCP,DDoS
172.16.163.163,344,4,1066,UDP,Bot
192.168.124.124,11,2,699,UDP,Legit
172.16.164.164,1366,10,1466,UDP,DDoS
172.16.165.165,277,6,799,TCP,Bot
192.168.125.125,45,3,344,TCP,Legit
172.16.166.166,1288,15,1233,UDP,DDoS
172.16.167.167,144,8,899,UDP,Bot
192.168.126.126,27,4,533,UDP,Legit
172.16.168.168,799,13,1388,TCP,DDoS
172.16.169.169,388,3,1011,TCP,Bot
192.168.127.127,10,1,288,TCP,Legit
172.16.170.170,1422,18,1444,UDP,DDoS
172.16.171.171,211,5,766,UDP,Bot
192.168.128.128,41,2,477,UDP,Legit
172.16.172.172,1102,9,1199,UDP,DDoS
172.16.173.173,366,7,977,TCP,Bot
192.168.129.129,33,3,611,TCP,Legit
172.16.174.174,1344,17,1355,UDP,DDoS
172.16.175.175,188,4,644,UDP,Bot
192.168.130.130,24,4,233,UDP,Legit
172.16.176.176,1033,12,1488,TCP,DDoS
172.16.177.177,333,6,1088,TCP,Bot
192.168.131.131,48,1,566,TCP,Legit
172.16.178.178,766,15,1255,UDP,DDoS
172.16.179.179,122,8,822,UDP,Bot
192.168.132.132,19,2,388,UDP,Legit
172.16.180.180,1466,11,1411,UDP,DDoS
172.16.181.181,299,3,911,TCP,Bot
192.168.133.133,36,3,644,TCP,Legit
172.16.182.182,1211,19,1166,UDP,DDoS
172.16.183.183,155,5,722,UDP,Bot
192.168.134.134,28,4,422,UDP,Legit
172.16.184.184,833,14,1322,TCP,DDoS
172.16.185.185,399,7,1055,TCP,Bot
192.168.135.135,13,1,511,TCP,Legit
172.16.186.186,1399,10,1433,UDP,DDoS
172.16.187.187,244,4,888,UDP,Bot
192.168.136.136,44,2,255,UDP,Legit
172.16.188.188,1166,16,1122,UDP,DDoS
172.16.189.189,177,6,611,TCP,Bot
192.168.137.137,39,3,677,TCP,Legit
172.16.190.190,911,12,1288,TCP,DDoS
172.16.191.191,377,8,944,UDP,Bot
192.168.138.138,25,4,444,UDP,Legit
172.16.192.192,1499,18,1366,UDP,DDoS
172.16.193.193,266,3,799,TCP,Bot
192.168.139.139,42,1,533,TCP,Legit
172.16.194.194,1277,13,1499,UDP,DDoS
172.16.195.195,144,5,1033,UDP,Bot
192.168.140.140,16,2,322,UDP,Legit
172.16.196.196,877,20,1144,TCP,DDoS
172.16.197.197,355,7,855,TCP,Bot
192.168.141.141,31,3,588,TCP,Legit
172.16.198.198,1444,11,1333,UDP,DDoS
172.16.199.199,211,4,666,UDP,Bot
192.168.142.142,47,4,233,UDP,Legit
172.16.200.200,1111,15,1455,UDP,DDoS
172.16.201.201,321,6,988,TCP,Bot
192.168.143.143,14,1,477,TCP,Legit
172.16.202.202,788,12,1244,TCP,DDoS
172.16.203.203,133,8,755,UDP,Bot
192.168.144.144,41,2,611,UDP,Legit
172.16.204.204,1355,17,1388,UDP,DDoS
172.16.205.205,388,3,1011,TCP,Bot
192.168.145.145,23,3,366,TCP,Legit
172.16.206.206,1233,10,1188,UDP,DDoS
172.16.207.207,255,5,833,UDP,Bot
192.168.146.146,49,4,288,UDP,Legit
172.16.208.208,844,14,1433,TCP,DDoS
172.16.209.209,166,7,966,TCP,Bot
192.168.147.147,12,1,555,TCP,Legit
172.16.210.210,1477,19,1266,UDP,DDoS
172.16.211.211,344,4,744,UDP,Bot
192.168.148.148,37,2,699,UDP,Legit
172.16.212.212,1188,13,1477,UDP,DDoS
172.16.213.213,222,6,1077,TCP,Bot
192.168.149.149,34,3,411,TCP,Legit
172.16.214.214,822,11,1344,TCP,DDoS
172.16.215.215,111,8,888,UDP,Bot
192.168.150.150,20,4,244,UDP,Legit
172.16.216.216,1333,16,1177,UDP,DDoS
172.16.217.217,289,3,633,TCP,Bot
192.168.151.151,45,1,488,TCP,Legit
172.16.218.218,1266,12,1411,UDP,DDoS
172.16.219.219,399,5,933,UDP,Bot
192.168.152.152,27,2,311,UDP,Legit
172.16.220.220,755,18,1211,TCP,DDoS
172.16.221.221,188,7,811,TCP,Bot
192.168.153.153,18,3,588,TCP,Legit
172.16.223.223,1411,14,1355,UDP,DDoS
172.16.224.224,311,4,1044,UDP,Bot
192.168.154.154,42,4,455,UDP,Legit
172.16.225.225,1200,20,1466,UDP,DDoS
172.16.226.226,144,6,777,TCP,Bot
192.168.155.155,30,1,622,TCP,Legit
172.16.227.227,966,10,1133,TCP,DDoS
172.16.228.228,277,8,955,UDP,Bot
192.168.156.156,46,2,277,UDP,Legit
172.16.229.229,1488,15,1311,UDP,DDoS
172.16.230.230,377,3,688,TCP,Bot
192.168.157.157,11,3,511,TCP,Legit
172.16.231.231,1055,19,1422,UDP,DDoS
172.16.232.232,233,5,1022,UDP,Bot
192.168.158.158,38,4,388,UDP,Legit
172.16.233.233,833,12,1199,TCP,DDoS
172.16.234.234,133,7,844,TCP,Bot
192.168.159.159,25,1,666,TCP,Legit
172.16.235.235,1377,17,1377,UDP,DDoS
172.16.236.236,366,4,733,UDP,Bot
192.168.160.160,43,2,433,UDP,Legit
172.16.237.237,1144,11,1488,UDP,DDoS
172.16.238.238,211,6,977,TCP,Bot
192.168.161.161,16,3,211,TCP,Legit
172.16.239.239,911,16,1288,TCP,DDoS
172.16.240.240,322,8,644,UDP,Bot
192.168.162.162,32,4,533,UDP,Legit
172.16.241.241,1399,14,1444,UDP,DDoS
172.16.242.242,199,3,1099,TCP,Bot
192.168.163.163,48,1,344,TCP,Legit
172.16.243.243,1211,20,1233,UDP,DDoS
172.16.244.244,144,5,866,UDP,Bot
192.168.164.164,19,2,599,UDP,Legit
172.16.245.245,777,10,1366,TCP,DDoS
172.16.246.246,299,7,1055,TCP,Bot
192.168.165.165,36,3,477,TCP,Legit
172.16.247.247,1422,15,1155,UDP,DDoS
172.16.248.248,244,4,611,UDP,Bot
192.168.166.166,28,4,288,UDP,Legit
172.16.249.249,1122,12,1400,TCP,DDoS
172.16.250.250,177,6,922,TCP,Bot
192.168.167.167,13,1,566,TCP,Legit
172.16.251.251,855,18,1255,UDP,DDoS
172.16.252.252,388,8,799,UDP,Bot
192.168.168.168,44,2,422,UDP,Legit
172.16.253.253,1466,11,1477,UDP,DDoS
172.16.254.254,266,3,1033,TCP,Bot
192.168.169.169,39,3,344,TCP,Legit
172.16.255.255,1244,16,1311,UDP,DDoS
10.0.0.1,155,5,855,UDP,Bot
192.168.170.170,24,4,688,UDP,Legit
10.0.0.2,1388,13,1188,TCP,DDoS
10.0.0.3,377,7,677,TCP,Bot
192.168.171.171,42,1,255,TCP,Legit
10.0.0.4,799,20,1455,UDP,DDoS
10.0.0.5,122,4,988,UDP,Bot
192.168.172.172,16,2,511,UDP,Legit
10.0.0.6,1311,15,1211,UDP,DDoS
10.0.0.7,355,6,755,TCP,Bot
192.168.173.173,31,3,444,TCP,Legit
10.0.0.8,1166,12,1399,TCP,DDoS
10.0.0.9,211,8,1011,UDP,Bot
192.168.174.174,47,4,633,UDP,Legit
10.0.0.10,755,17,1488,UDP,DDoS
10.0.0.11,321,3,588,TCP,Bot
192.168.175.175,14,1,322,TCP,Legit
10.0.0.12,1411,10,1144,UDP,DDoS
10.0.0.13,166,5,833,UDP,Bot
192.168.176.176,41,2,588,UDP,Legit
10.0.0.14,1222,14,1344,TCP,DDoS
10.0.0.15,311,7,966,TCP,Bot
192.168.177.177,23,3,233,TCP,Legit
10.0.0.16,911,19,1411,UDP,DDoS
10.0.0.17,188,4,744,UDP,Bot
192.168.178.178,49,4,477,UDP,Legit
10.0.0.18,1455,11,1077,UDP,DDoS
10.0.0.19,366,6,888,TCP,Bot
192.168.179.179,12,1,611,TCP,Legit
10.0.0.20,1133,16,1177,TCP,DDoS
10.0.0.21,133,8,633,UDP,Bot
192.168.180.180,37,2,366,UDP,Legit
10.0.0.22,812,12,1411,UDP,DDoS
10.0.0.23,289,3,933,TCP,Bot
192.168.181.181,34,3,699,TCP,Legit
10.0.0.24,1433,17,1211,UDP,DDoS
10.0.0.25,399,5,811,UDP,Bot
192.168.182.182,20,4,411,UDP,Legit
10.0.0.26,1188,9,1355,TCP,DDoS
10.0.0.27,202,7,1044,TCP,Bot
192.168.183.183,45,1,244,TCP,Legit
10.0.0.28,777,14,1466,UDP,DDoS
10.0.0.29,344,4,777,UDP,Bot
192.168.184.184,27,2,488,UDP,Legit
10.0.0.30,1322,11,1133,UDP,DDoS
10.0.0.31,144,6,955,TCP,Bot
192.168.185.185,18,3,311,TCP,Legit
10.0.0.32,1255,16,1311,TCP,DDoS
10.0.0.33,277,8,688,UDP,Bot
192.168.186.186,42,4,588,UDP,Legit
10.0.0.34,833,12,1422,UDP,DDoS
10.0.0.35,377,3,1022,TCP,Bot
192.168.187.187,25,1,455,TCP,Legit
10.0.0.36,1399,18,1199,UDP,DDoS
10.0.0.37,233,5,844,UDP,Bot
192.168.188.188,11,2,622,UDP,Legit
10.0.0.38,1144,13,1377,TCP,DDoS
10.0.0.39,111,7,733,TCP,Bot
192.168.189.189,48,3,277,TCP,Legit
10.0.0.40,889,15,1488,UDP,DDoS
10.0.0.41,299,4,977,UDP,Bot
192.168.190.190,33,4,511,UDP,Legit
10.0.0.42,1488,10,1288,UDP,DDoS
10.0.0.43,155,6,644,TCP,Bot
192.168.191.191,16,1,388,TCP,Legit
10.0.0.44,1211,16,1444,TCP,DDoS
10.0.0.45,388,8,1099,UDP,Bot
192.168.192.192,40,2,666,UDP,Legit
10.0.0.46,766,11,1233,UDP,DDoS
10.0.0.47,222,3,866,TCP,Bot
192.168.193.193,30,3,433,TCP,Legit
10.0.0.48,1466,14,1366,UDP,DDoS
10.0.0.49,311,5,1155,UDP,Bot
192.168.194.194,19,4,211,UDP,Legit
10.0.0.50,1122,19,1055,TCP,DDoS
10.0.0.51,188,7,611,TCP,Bot
192.168.195.195,46,1,533,TCP,Legit
10.0.0.52,877,12,1400,UDP,DDoS
10.0.0.53,333,4,922,UDP,Bot
192.168.196.196,22,2,344,UDP,Legit
10.0.0.54,1422,17,1477,UDP,DDoS
10.0.0.55,133,6,799,TCP,Bot
192.168.197.197,39,3,599,TCP,Legit
10.0.0.56,1155,9,1311,TCP,DDoS
10.0.0.57,377,8,1033,UDP,Bot
192.168.198.198,13,4,477,UDP,Legit
10.0.0.58,799,15,1188,UDP,DDoS
10.0.0.59,222,3,855,TCP,Bot
192.168.199.199,45,1,288,TCP,Legit
10.0.0.60,1311,11,1455,UDP,DDoS
10.0.0.61,144,5,677,UDP,Bot
192.168.201.201,34,2,611,UDP,Legit
10.0.0.62,1102,16,1211,TCP,DDoS
10.0.0.63,311,7,988,TCP,Bot
192.168.202.202,23,3,322,TCP,Legit
10.0.0.64,822,12,1399,UDP,DDoS
